"","Date_reported","Country_code","Country","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","stay_home_requirements","New_infectious","lag_infectious","stay_home_diff_07","stay_home_diff_05","stay_home_diff_03","lag_stay_home","lag_stay_home_diff_07","lag_stay_home_diff_05","lag_stay_home_diff_03","lag_stay_home_diff_01","New_infec_07ma","lag_infec_07ma","New_infec_05ma","lag_infec_05ma","New_infec_03ma","lag_infec_03ma","delta_infectious","delta_infec_07ma","delta_infec_05ma","delta_infec_03ma"
"217",2020-11-03,"PL","Poland","Europe",15578,395480,92,5875,"1",5337,131551,"0","0","0","0","0","0","0","0",6136.42857142857,130520.285714286,5594.2,130730.4,4610,130793.333333333,4.0569817029137,4.70151328419665,4.2791883142712,3.52464447729242
"218",2020-11-04,"PL","Poland","Europe",19364,414844,227,6102,"1",3064,134615,"0","0","0","0","0","0","0","0",5773.57142857143,136293.857142857,5337.8,136068.2,4757.66666666667,135551,2.27612078891654,4.23612006410518,3.92288572936219,3.50987205307719
"219",2020-11-05,"PL","Poland","Europe",24692,439536,373,6475,"1",5872,140487,"0","0","0","0","0","0","0","0",5446.28571428571,141740.142857143,5343.4,141411.6,5307.66666666667,140858.666666667,4.17974616868465,3.84244407018477,3.77861504996761,3.76807958805043
"220",2020-11-06,"PL","Poland","Europe",27143,466679,367,6842,"1",6987,147474,"0","0","0","0","0","0","0","0",5758.42857142857,147498.571428571,5471.6,146883.2,6105.33333333333,146964,4.73778428739981,3.90405718215189,3.72513670726128,4.15430536276458
"221",2020-11-07,"PL","Poland","Europe",27086,493765,445,7287,"1",5457,152931,"0","0","0","1","1","1","1","1",5872.42857142857,153371,6381.6,153264.8,6140.66666666667,153104.666666667,3.56827588912647,3.82890414187074,4.16377406945365,4.01076387830547
"222",2020-11-08,"PL","Poland","Europe",27875,521640,349,7636,"1",5978,158909,"0","0","0","1","1","1","1","0",6304.71428571429,159675.714285714,6434.2,159699,6349.66666666667,159454.333333333,3.76190146561869,3.94844908877815,4.02895447059781,3.98212236314263
"223",2020-11-09,"PL","Poland","Europe",24785,546425,236,7872,"1",7614,166523,"0","0","0","1","1","1","1","0",5541.42857142857,165217.142857143,6254.8,165953.8,6575.66666666667,166030,4.57234135825081,3.3540276000415,3.76900077009385,3.96052922162661
"224",2020-11-10,"PL","Poland","Europe",21713,568138,173,8045,"1",6135,172658,"0","0","0","1","1","1","0","0",3906.14285714286,169123.285714286,5269.2,171223,6613,172643,3.55326715240533,2.309642247456,3.07739030387273,3.8304478026911
"225",2020-11-11,"PL","Poland","Europe",25454,593592,330,8375,"1",6090,178748,"0","0","0","1","1","1","0","0",2693,171816.285714286,3181.6,174404.6,4251.33333333333,176894.333333333,3.40703112762101,1.56737179412562,1.82426380955548,2.40331798832825
"226",2020-11-12,"PL","Poland","Europe",25221,618813,430,8805,"1",529,179277,"0","0","0","1","1","0","0","0",1509.85714285714,173326.142857143,1051.8,175456.4,719.666666666667,177614,0.295074103203423,0.871107565176467,0.599465166274926,0.405185777397427
"227",2020-11-13,"PL","Poland","Europe",22683,641496,275,9080,"1",-4460,174817,"0","0","0","1","1","0","0","0",3.42857142857143,173329.571428571,-636,174820.4,-2322,175292,-2.55123929594948,0.00197806490855159,-0.36380193615848,-1.32464687492869
